1,Dažādās pieejās bāzētu dialogu sistēmu integrēšanas metožu izpēte un izmantošanas iespējas apdrošināšanas sfērā,"Maģistra darba mērķis ir izpētīt dažādas pieejas dialogsistēmu izveidē, to integrēšanas metodes, veidojot hibrīdas dialogsistēmas, un to izmantošanas iespējas apdrošināšanas jomā, izstrādājot attiecīgu prototipu un salīdzinot to ar tradicionālu dialogsistēmu.  Darbā tika izpētīti dažādu dialogistēmu veidi un to izstrādes ietvari, lai novērtētu tos un izvēlētu vienu darba praktiskās daļas veikšanai. Praktiskajā daļā izstrādāti divi dialogsistēmu prototipi, kas veic vienu funkciju – apdrošināšanas atlīdzības pietiekšanu. Viens no prototipiem izmanto vadītas sarunas principu. Savukārt, otrs prototips atbilst hibrīdai dialogsistēmai – tā ne tikai nodrošina apdrošināšanas atlīdzības pietiekšanu, bet arī spēj atbildēt uz lietotāju jautājumu un brīvi tērzēt ar lietotāju. Darba ietvaros tika veikta lietotāju testēšana, lai salīdzinātu izstrādāto prototipu darbību un novērtētu hibrīdas dialogistēmas potenciālu izmantošanu apdrošināšanas jomā. Apkopojot rezultātus secināts, ka hibrīdas dialogsistēmas prototips nespēja gūt pārliecinoši labākus rezultātus datu kvalitātes dēļ, taču lietotāju komentāri un atgriezeniskā saite liecina par potenciālu hibrīdu dialogsistēmu izmantošanai apdrošināšanas jomā.",0
2,Krāsu un emociju izmantojums saskarņu dizaina izstrādē,"Latvijā krāsu emocijas saskarnēs ir līdz šim maz pētīta tēma, tomēr pieaugot e-pakalpojumu klāstam, pieaug lietotāju skaits, kas mudina izprast lietotāja vajadzības, vēlmes un emocijas. Darba teorētiskajā ietvarā tiek apskatīta krāsu uztvere, izvēle un emocijas, kā arī pētniecības aktualitātes. Praktiskajā daļā tiek pētīts kādas krāsu emocijas Latvijas universitātes humanitāro un eksakto zinātņu studentos rada studiju e-vides dizainā izmantoto krāsu izmaiņas. Tika pieņemts, ka krāsu patika ir saistīta ar uztverto krāsu emociju asociāciju vērtējumiem un ka eksakto zinātņu studentu krāsu emocijas atšķiras no humanitāro zinātņu studentu krāsu emocijām, jo eksakto zinātņu studenti ir pragmatiskāki un mācību kursa saturā ir iekļauta tehnisku zinību apgūšana. Pētījuma rezultāti rāda, ka krāsu emocijās akadēmiskajai zinātņu nozarei nav noteicošā loma un studentu vidū no dažādām akadēmiskām nozarēm netika atklātas statistiski nozīmīgas krāsu emociju atšķirības.",0
3,Muzeja pamatkrājuma elektroniskais katalogs,"Kvalifikācijas darbā ir izstrādāts Latvijas Universitātes muzeja pamatkrājuma elektroniskais katalogs. Sākotnēji, muzeja darbinieki muzeja eksponenta uzskaiti veidoja excel formātā, kur bija apkopoti dati par priekšmetu autoriem, izmēriem, topogrāfijas novietojumiem utt.. Tomēr šie dokumenti bija tikai redzami muzeja darbiniekiem, un nebija saskarsmes ar lietotāju. Tādēļ tika nolemts, ka nepieciešams datus konvertēt uz jaunu datubāzi, kurai tiek veidota lietotāju saskarsme caur Latvijas Universitāti. Pēc sistēmu ievades, lietotāji varēs apskatīt kuri priekšmeti un kurā vietā no katra muzeja kataloga ir izlikti kā eksponenti, savukārt muzeja darbinieki ir vienīgie kuri varēs rediģēt vai pievienot no šīs sistēmas un datubāzes.  Elektroniskais katalogs ir paredzēts trīs lietotāju grupām. Katrai lietotāju grupai ir Paredzētas noteiktas iespējas izmantot informāciju, kas ir ievadīta katalogā. Pēc sistēmu ievades, lietotāji varēs aplūkot informāciju katalogā bez iespējām kaut ko mainīt; muzeja darbinieki ir vienīgie, kuriem ir iespēja rediģēt vai pievienot datus. Un sistēmas administratori pārvalda visus sistēmas lietotājus. Izstrādātās sistēmas mērķis ir palīdzēt muzeja darbiniekiem visu informāciju glabāt vienkopus, kā arī nodrošināt pieeju lietotājiem.",0
4,Lielu jēdzienu tīklu vizualizācijas sistēma,"Bakalaura darba “Lielu jēdzienu tīklu vizualizācijas sistēma” mērķis ir izstrādāt algoritmu lielu jēdzienu tīklu un ontoloģiju sistēmas vizualizācijai. Darbā tiek meklēti paņēmieni, lai apakštīklu varētu attēlot uz vairākiem monitorā, lai virsotnes nešķērsotu ekrāna malas. Bakalaura darba pamatteksts ir izklāstīts 28 lappusēs. Literatūras sarakstā ir iekļauti 5 avoti.",0
5,"Biedrības “Latvijas Sarkanais Krusts” projekta ""Manas 100 brīvprātīgā darba stundas Latvijai” iOS lietotnes izstrāde",Kvalifikācijas darbā aprakstīta biedrības “Latvijas Sarkanais Krusts” projekta “Manas 100 brīvprātīgā darba stundas Latvijai” iOS lietotnes izstrādes dokumentācija. Lietotnes mērķis ir dot iespēju lietotājiem reģistrēt un pēc kritērijiem atlasīt un apskatīt paveiktos brīvprātīgos darbus.,0
6,Picērijas darba optimizācijas sistēma un mājaslapa,"Izstrādātā sistēma ir paredzēta picērijas darba optimizēšanai. Sistēma iedala tās lietotājus četrās lomās: administratori, pavāri, viesmīļi un viesi (tiek saukti arī par klientiem). Administratori var pievienot un pārvaldīt datubāzē saglabātos datus un viņiem ir pieeja uz gandrīz visām sistēmas funkcijām. Viesmīļiem un pavāri var skatīt saglabātos datus un mainīt pasūtījumu statusus, bet viesmīļi var arī ievadīt pasūtījumus. Sistēmas datubāze uzglabā informāciju par pasūtījumiem, picām, sastāvdaļām un receptēm. Ar šo informāciju, sistēma var automātiski atjaunināt ēdienkartes saturu un informāciju par sastāvdaļām, tādējādi darbiniekiem ir vienmēr zināms, kuras picas ir iespējams izcept. Sistēmai papildus ir arī mājaslapa, kur klienti var veikt pasūtījumus un saņemt picas.",0
7,ADO.NET objektu-relāciju kartēšanas modernizācija esošai sistēmai,"Industrijā joprojām tiek uzturētas .NET ietvarā veidotas sistēmas, kuru izstrāde tika uzsākta pirms vairāk kā 15 gadiem, kad vēl nebija pieejami dažādi ORM ietvaru risinājumi. Līdz ar to, izstrādātāji saskaras ar dažādām datu piekļuves slāņa problēmām - ierobežotu funkcionalitāti, apgrūtinātu sistēmas migrāciju uz jaunākiem ietvariem, drošības riskiem. u.c. Esošo risinājumu aizstāšana ar modernu ORM, ļautu šīs problēmas risināt. Bakalaura darba mērķis ir identificēt problēmas, kas rodas, aizstājot uz Microsoft ADO.NET bāzētu sistēmas datu piekļuves slāni ar Entity Framework ORM ietvaru, kā arī izpētīt migrācijas ieguvumus un trūkumus. Pētījuma rezultātā tika izstrādāta jauna datu piekļuves slāņa implementācija esošajā sistēmā, uzlabojot tās funkcionalitāti, atvieglojot sistēmas izstrādi un uzturēšanu.",0
8,"Datu saspiešanas algoritmu salīdzinājums, izmantojot korelācijas ieviešanu pseidonejaušu skaitļu virknēs","Darba ietvaros tiek veikta priekšizpēte testu izstrādei, kas izmantotu skaitļu virknes datu saspiešanas faktoru, lai pārliecinātos par izvēlēta statistisko īpašību kopuma neesamību skaitļu virknē. Tiek salīdzināti 5 populāri bezzudumu datu saspiešanas algoritmi pēc tā vai no izmaiņām to datu saspiešanas faktoros var savstarpēji atšķirt dažādas korelācijas, kas ieviestas ar AES-128 ģenerētās pseidonejaušu skaitļu virknēs. Darbs izvirza virknes datu saspiešanas faktoru kā potenciāli pētāmu virknes statistisko īpašību",0
9,Darba plūsmas plānošanas lietotne,"“Darba plūsmas plānošanas lietotne” ir kvalifikācijas darbs, kura gaitā tika izstrādāta Android lietotne “Project Planner”. Šīs lietotnes mērķis ir atveidot pašlaik pasaulē ļoti plaši, it īpaši programmēšanas nozarē, izmantotās projektu un darba plānošanas sistēmas Atlassian Jira, Trello un ALM Octane, šo funkcionalitāti padarot pieejamu viedtālrunī. Izveidotā lietotne nodrošina plānotā darba vienību hierarhisku struktūru, sadalot tos epikos, iezīmēs, biļetēs un visbeidzot uzdevumos, un nodrošinot šo vienību apskatīšanu un informācijas iegūšanu par tām uzdevumu dēļa formātā. Tā dod iespēju lietotājam pievienot jaunas vienības un apakšvienības, saraksta filtrēšanu pēc vairākiem kritērijiem, informāciju par komandām, to biedriem un sprintiem. Lietotne ir izstrādāta izmantojot Kotlin programmēšanas valodu, ievērojot Clean Architecture projekta strukturēšanas un slāņu sadalīšanas principus. Tā ir izstrādāta pēc reaktīvās programmēšanas paradigmas, izmantojot RxJava un RxKotlin.",0
10,Tīmekļa lietotne sudoku mīklu risināšanai,"Sudoku mīklu risināšanas lietotne “Sudoku App” ir tīmeklī bāzēta programmatūra, kas ļauj nereģistrētiem un reģistrētiem lietotājiem risināt sudoku, kā arī, reģistrētiem lietotājiem, saglabāt savu risinājumu vēsturi ar to atrisināšanai patērēto laiku, turpināt jau iepriekš iesāktās mīklas un apskatīt primitīvu statistiku par lietotāja risinātajām sudoku mīklām. Vietnes izstrāde veikta pēc Kanban spējās izstrādes ietvara. Programmatūra izmanto NodeJS tehnoloģiju ar express bibliotēku aizmugursistēmas izstrādē, un ReactJS tehnoloģiju lietotāja saskarnes izstrādē.",0
11,Strukturēto datu lietojums tīmeklī,"Bakalaura darbā tiek pētīts strukturēto datu lietojums tīmekļa tehnoloģijās aprakstot saistītos datus un semantisko tīmekli. Darbā galvenā uzmanība tiek pievērsta saistītajiem datiem un tiem, kā semantiskā tīmekļa pamatu. Tāpēc darbā ir veikts vairāku tīmekļa projektu un tehnoloģiju apraksts, kuros pašreiz plaši tiek izmantoti strukturēti saistītie dati. Pētnieciskajā daļā izveidoti 3 dažādi projekti, kuri atspoguļo strukturēto datu pielietojumu tīmeklī: • Informācijas publiskošana interneta vidē, kā daļu no semantiskā tīmekļa izmantojot CKAN un https://demo.ckan.org; • Strukturēto datu izmantošana tīmekļa meklētājprogrammu optimizācijai ar Wordpress un JSON-LD; • DBpedia datu kopas izpēte. Rezultātā tika secināts, ka strukturēti saistītie dati tiek plaši lietoti dažādos tīmekļa projektos un gan izstrādātāji, gan lietotāji, sīkāk iepazīstoties ar to sniegtajām iespējām, var uzlabot tīmekļa projekta kvalitāti.",0
